21742;San Cristobal;64.0;60.0;2;1.0;3;85000
21740;San Andres;94.0;54.0;2;2.0;1;144247
21738;Los Rosales;108.0;90.0;2;2.0;4;260000
21737;San Andres;126.0;114.0;4;2.0;3;195000
21736;San Andres;120.0;100.0;5;2.0;1;190000
21735;Villaverde;125.0;100.0;3;2.0;2;198500
21734;Villaverde;84.0;70.0;3;2.0;0;212000
21731;Villaverde;122.0;98.0;3;2.0;6;246900
21730;Los Rosales;123.0;104.0;3;2.0;4;195000
21729;Los Angeles;109.0;90.0;3;2.0;3;205000
21726;Villaverde;115.0;88.0;3;1.0;1;184900
21716;San Andres;75.0;68.0;3;1.0;3;138000
21715;Villaverde;112.0;83.0;4;2.0;2;280000
21714;Los Rosales;65.0;63.0;3;1.0;1;150000
21713;San Andres;70.0;63.0;2;1.0;3;145900
21709;Villaverde;72.0;66.0;2;1.0;3;138000
21708;Butarque;61.0;56.0;3;1.0;5;100000
21706;Villaverde;87.0;70.0;3;1.0;2;96000
21705;San Andres;60.0;1.0;2;1.0;0;154000
21704;Los Angeles;78.0;63.0;4;1.0;2;146700
21703;Los Rosales;52.0;41.0;1;1.0;1;92500
21700;Butarque;97.0;73.0;2;2.0;0;266122
21699;Butarque;93.0;70.0;2;2.0;7;228273
21697;Butarque;83.0;69.0;2;2.0;7;228273
21696;Los Rosales;45.0;41.0;2;1.0;1;85000
21692;Butarque;126.0;105.0;4;2.0;0;275000
21690;Villaverde;65.0;52.0;2;1.0;0;115000
21688;Villaverde;62.0;48.0;2;1.0;0;123000
21686;Butarque;112.0;80.0;3;2.0;3;289000
21663;San Andres;97.0;91.0;4;1.0;3;130000
21662;Butarque;106.0;81.0;3;2.0;3;251569
21661;Butarque;103.0;79.0;3;2.0;3;235402
21660;Butarque;103.0;79.0;3;2.0;1;235172
21659;Butarque;103.0;79.0;3;2.0;5;236227
21658;Butarque;114.0;85.0;3;2.0;2;254710
21652;Villaverde;173.0;107.0;4;2.0;2;268000
21649;Los Rosales;125.0;87.0;3;2.0;1;210000
21645;San Andres;54.0;50.0;2;1.0;2;110000
21642;Los Rosales;65.0;52.0;2;1.0;3;106500
21641;Los Rosales;102.0;81.0;3;2.0;3;127500
21636;San Andres;54.0;50.0;2;1.0;3;89900
21627;Butarque;103.0;79.0;3;2.0;6;235718
21620;Butarque;106.0;81.0;3;2.0;4;256115
21619;Butarque;113.0;84.0;3;2.0;0;261989
21618;Butarque;115.0;86.0;3;2.0;1;273353
21617;Butarque;129.0;98.0;3;2.0;7;297621
21616;Butarque;115.0;89.0;3;2.0;6;279778
21610;San Andres;73.0;45.0;2;1.0;1;127500
21609;San Andres;122.0;90.0;3;2.0;0;179000
21608;Butarque;98.0;86.0;3;2.0;0;266122
21607;Butarque;97.0;83.0;3;2.0;0;261989
21606;Butarque;111.0;98.0;3;2.0;7;297621
21605;Butarque;99.0;86.0;3;2.0;3;251569
21604;Villaverde;77.0;66.0;3;1.0;1;113500
21603;San Andres;85.0;75.0;3;1.0;4;138000
21602;Butarque;90.0;73.0;3;2.0;2;225000
21601;Los Rosales;133.0;80.0;2;1.0;6;264000
21599;Butarque;133.0;101.0;3;3.0;7;275000
21585;Butarque;104.0;88.0;3;2.0;1;273352
21582;San Cristobal;74.0;69.0;3;1.0;1;100000
21580;San Andres;90.0;85.0;2;2.0;7;240000
21578;San Andres;49.0;44.0;2;1.0;0;84000
21577;Los Rosales;151.0;100.0;3;2.0;6;314000
21574;Los Rosales;48.0;39.0;2;1.0;0;89000
21571;San Andres;136.0;92.0;3;2.0;5;230000
21569;San Andres;95.0;90.0;3;1.0;2;185000
21567;Los Rosales;43.0;35.0;1;1.0;0;84000
21555;Butarque;58.0;48.0;3;1.0;3;105000
21553;San Andres;82.0;73.0;3;1.0;4;120000
21551;Butarque;90.0;76.0;2;1.0;0;212000
21550;San Cristobal;95.0;87.0;2;2.0;5;184000
21545;San Andres;68.0;63.0;3;1.0;4;95000
21541;Butarque;91.0;77.0;2;2.0;5;228208
21538;San Andres;60.0;56.0;2;1.0;3;105000
21536;San Cristobal;60.0;50.0;2;1.0;5;73000
21534;Villaverde;136.0;76.0;3;1.0;1;135990
21532;Los Rosales;71.0;60.0;2;2.0;2;198000
21530;San Cristobal;65.0;60.0;2;1.0;2;110000
21529;Villaverde;93.0;87.0;3;1.0;9;160000
21528;San Andres;75.0;70.0;3;1.0;2;103000
21525;San Andres;115.0;92.0;3;1.0;1;154900
21524;San Cristobal;63.0;60.0;2;1.0;2;82260
21523;Villaverde;72.0;67.0;3;1.0;6;139400
21521;San Andres;90.0;70.0;3;2.0;3;155000
21520;San Cristobal;66.0;60.0;3;1.0;2;88000
21513;Los Angeles;80.0;65.0;3;1.0;3;182000
21512;San Andres;120.0;85.0;3;2.0;2;295000
21511;Los Angeles;82.0;71.0;2;2.0;6;270000
21505;Villaverde;45.0;36.0;2;1.0;3;105000
21504;Los Rosales;95.0;85.0;3;1.0;2;130000
21500;Los Rosales;98.0;85.0;4;2.0;0;230000
21495;San Andres;120.0;110.0;3;1.0;2;180000
21491;Los Rosales;105.0;95.0;3;2.0;0;180000
21490;Villaverde;70.0;60.0;2;1.0;0;128000
21487;Villaverde;86.0;76.0;3;1.0;4;129000
21486;Villaverde;75.0;65.0;3;2.0;1;132000
21485;Villaverde;85.0;75.0;3;1.0;0;135000
21484;Villaverde;65.0;58.0;2;1.0;0;99000
21482;San Cristobal;68.0;62.0;3;1.0;2;88000
21480;San Andres;83.0;71.0;2;1.0;1;146000
21478;San Cristobal;30.0;27.0;1;1.0;0;59000
21475;Villaverde;153.0;102.0;4;2.0;1;178000
